BOARD;CHANNEL;TIMETAG;ENERGY;ENERGYSHORT;FLAGS
0;0;3342195217123;67;50;0x4000
0;0;3352124098529;39;43;0x4000
0;0;3362459390631;162;137;0x4000
0;0;3391130328741;154;132;0x4000
0;0;3392312521249;32;30;0x4000
0;0;3400143658710;297;266;0x4000
0;0;3406008089795;92;82;0x4000
0;0;3408414682014;555;459;0x4000
0;0;3409312243280;77;66;0x4000
0;0;3411832110226;113;95;0x4000
0;0;3412216202084;82;72;0x4000
0;0;3415514607249;27;25;0x4000
0;0;3426359349296;154;132;0x4000
0;0;3427321295109;56;39;0x4000
0;0;3432641230092;77;55;0x4000
0;0;3441903439576;145;120;0x4000
0;0;3442410399936;23;18;0x4000
0;0;3443638008694;133;113;0x4000
0;0;3446490549187;36;36;0x4000
0;0;3447579009749;27;27;0x4000
0;0;3453195492124;60;43;0x4000
0;0;3481484016928;108;83;0x4000
0;0;3483063172812;160;149;0x4000
0;0;3496397918631;250;218;0x4000
0;0;3496729236553;86;78;0x4000
0;0;3497217955483;104;96;0x4000
0;0;3508559006272;99;98;0x4000
0;0;3534249744983;32;32;0x4000
0;0;3544348564402;441;397;0x4000
0;0;3545710147639;41;29;0x4000
0;0;3547967286748;40;39;0x4000
0;0;3552452482724;93;78;0x4000
0;0;3560654963209;409;363;0x4000
0;0;3574134872444;221;153;0x4000
0;0;3583153242412;332;251;0x4000
0;0;3587571935654;32;31;0x4000
0;0;3590109237514;25;21;0x4000
0;0;3590420611123;45;36;0x4000
0;0;3597023376646;76;70;0x4000
0;0;3603823217826;62;56;0x4000
0;0;3609334145420;53;48;0x4000
0;0;3625994516030;103;89;0x4000
0;0;3629862739671;121;112;0x4000
0;0;3637808394569;50;46;0x4000
0;0;3639661988912;163;134;0x4000
0;0;3671097649404;30;31;0x4000
0;0;3671618610061;70;68;0x4000
0;0;3674348692084;105;92;0x4000
0;0;3676744472515;71;67;0x4000
0;0;3676928377357;34;31;0x4000
0;0;3677223738045;98;78;0x4000
0;0;3696301373310;54;45;0x4000
0;0;3696978907146;96;79;0x4000
0;0;3699003755623;46;33;0x4000
0;0;3706053098960;402;338;0x4000
0;0;3707538145068;75;65;0x4000
0;0;3708204239685;43;37;0x4000
0;0;3709535480378;186;156;0x4000
0;0;3715124697014;65;53;0x4000
0;0;3722886882140;56;50;0x4000
0;0;3727487810198;321;282;0x4000
0;0;3730312867334;58;55;0x4000
0;0;3734144373147;90;78;0x4000
0;0;3736766877951;27;23;0x4000
0;0;3741062767623;45;37;0x4000
0;0;3743123566843;36;36;0x4000
0;0;3745635423717;440;384;0x4000
0;0;3746302687068;45;42;0x4000
0;0;3754760344857;75;54;0x4000
0;0;3789996832679;381;322;0x4000
0;0;3802278385607;36;27;0x4000
0;0;3803396510151;501;432;0x4000
0;0;3803532083373;46;39;0x4000
0;0;3803554524389;50;52;0x4000
0;0;3803703525124;59;48;0x4000
0;0;3808395865334;78;67;0x4000
0;0;3843947485388;37;36;0x4000
0;0;3850597501780;40;34;0x4000
0;0;3853496099140;58;50;0x4000
0;0;3860200538014;43;42;0x4000
0;0;3868255825482;27;30;0x4000
0;0;3871184807193;197;167;0x4000
0;0;3891810959655;40;36;0x4000
0;0;3892725411562;45;40;0x4000
0;0;3895013460788;81;70;0x4000
0;0;3897403401983;43;38;0x4000
0;0;3898816629608;111;81;0x4000
0;0;3901774016237;352;302;0x4000
0;0;3904127730249;99;88;0x4000
0;0;3906205372378;379;311;0x4000
0;0;3924934984826;36;33;0x4000
0;0;3929194310499;54;48;0x4000
0;0;3941823040748;52;45;0x4000
0;0;3944585434419;45;43;0x4000
0;0;3958676911280;70;55;0x4000
0;0;3967413394569;124;106;0x4000
0;0;3985492432405;28;31;0x4000
0;0;3993358365421;37;37;0x4000
0;0;3997877034484;127;106;0x4000
0;0;3998983040265;133;108;0x4000
0;0;4012510988468;48;28;0x4000
0;0;4025645284218;61;58;0x4000
0;0;4038670647687;87;84;0x4000
0;0;4045608076850;54;52;0x4000
0;0;4050535831483;93;78;0x4000
0;0;4058780250341;57;50;0x4000
0;0;4071185728912;114;103;0x4000
0;0;4075194700733;108;95;0x4000
0;0;4094504385529;45;46;0x4000
0;0;4095114223873;45;44;0x4000
0;0;4102820052467;38;45;0x4000
0;0;4108169738827;73;51;0x4000
0;0;4118098788966;65;57;0x4000
0;0;4130171760685;51;37;0x4000
0;0;4137116156248;67;52;0x4000
0;0;4138513990451;124;99;0x4000
0;0;4146935267561;17;21;0x4000
0;0;4150365018000;42;28;0x4000
0;0;4152594933655;51;42;0x4000
0;0;4158094660046;32;35;0x4000
0;0;4158459485078;32;32;0x4000
0;0;4182393224046;80;73;0x4000
0;0;4222275659795;41;33;0x4000
0;0;4232154634014;62;51;0x4000
0;0;4235523868678;152;126;0x4000
0;0;4245908576693;355;315;0x4000
0;0;4259621158000;71;57;0x4000
0;0;4260283910920;61;40;0x4000
0;0;4269913618022;137;109;0x4000
0;0;4273086878569;96;82;0x4000
0;0;4281182642022;84;66;0x4000
0;0;4290183705249;158;136;0x4000
0;0;4292327101022;366;312;0x4000
0;0;4301853105233;42;40;0x4000
0;0;4304585399140;38;37;0x4000
0;0;4313627224245;274;232;0x4000
0;0;4317225606163;440;361;0x4000
0;0;4318515732061;68;53;0x4000
0;0;4320279019326;55;50;0x4000
0;0;4323531689873;40;38;0x4000
0;0;4327716597623;54;42;0x4000
0;0;4332540743405;50;46;0x4000
0;0;4342442350953;32;27;0x4000
0;0;4360924082686;39;32;0x4000
0;0;4368831754867;95;90;0x4000
0;0;4374597094724;262;204;0x4000
0;0;4385017653131;87;68;0x4000
0;0;4390673049389;37;29;0x4000
0;0;4396875014295;59;49;0x4000
0;0;4406394460405;65;49;0x4000
0;0;4408493239357;66;45;0x4000
0;0;4417853252280;129;112;0x4000
0;0;4418030914518;148;131;0x4000
0;0;4426073400521;70;60;0x4000
0;0;4427134803295;55;49;0x4000
0;0;4434708890436;29;33;0x4000
0;0;4444965703811;62;52;0x4000
0;0;4445761207888;36;32;0x4000
0;0;4446353664287;66;55;0x4000
0;0;4450426533640;19;22;0x4000
0;0;4462923656999;29;21;0x4000
0;0;4474879519905;19;27;0x4000
0;0;4477790486420;38;36;0x4000
0;0;4478730141763;68;59;0x4000
0;0;4488358973874;24;19;0x4000
0;0;4495976751453;49;48;0x4000
0;0;4503078244718;69;65;0x4000
0;0;4508135821748;47;40;0x4000
0;0;4508537232835;77;68;0x4000
0;0;4509290973124;77;62;0x4000
0;0;4513203511327;33;24;0x4000
0;0;4533042451029;304;239;0x4000
0;0;4538829185952;22;19;0x4000
0;0;4542629800967;56;32;0x4000
0;0;4545935492818;178;156;0x4000
0;0;4550822746936;51;40;0x4000
0;0;4551533795233;58;54;0x4000
0;0;4555805224732;435;384;0x4000
0;0;4558159766788;109;91;0x4000
0;0;4561483579194;340;277;0x4000
0;0;4570687183264;44;43;0x4000
0;0;4577777909796;30;30;0x4000
0;0;4584433724279;125;106;0x4000
0;0;4587502769320;510;454;0x4000
0;0;4589144161162;122;106;0x4000
0;0;4593685716053;123;103;0x4000
0;0;4603269878764;53;38;0x4000
0;0;4606213569420;94;80;0x4000
0;0;4644429222585;192;168;0x4000
0;0;4647875621546;364;317;0x4000
0;0;4659895071388;59;51;0x4000
